condition,category,direction,alpha,label,on_target,n_pairs,mean_baseline,mean_steered,shift,cohen_d,wilcoxon_stat,p_raw,p_bonf,significant_005
JUDGE_pos_0.5,JUDGE,pos,0.5,TEST,False,40,0.5393414186480165,0.5235194993713643,-0.015821919276652274,-0.08156986604267574,340.0,0.35409228332900966,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,JUDGE,True,40,0.09112046046668851,0.0951781777403113,0.0040577172736227865,0.07633418535660999,384.0,0.7345573100628826,1.0,False
JUDGE_pos_0.5,JUDGE,pos,0.5,PLAN,False,40,0.04151262582401535,0.061121356169797726,0.019608730345782373,0.5367605063584031,201.0,0.004244452147759148,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,MONITOR,False,40,0.02194271932550454,0.03429529061374712,0.01235257128824258,0.44515671957685626,225.0,0.021302786454192136,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,RULE,False,40,0.007240970001723958,0.0057952968202299605,-0.001445673181493997,-0.09390221809599279,176.0,0.24519030932096386,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,ORIENT,False,40,0.01855043425641561,0.010011208652741117,-0.008539225603674488,-0.506502120518464,168.0,0.0007984068197401939,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,DESCRIBE,False,40,0.12017275708819927,0.06358179072009476,-0.056590966368104526,-0.3815172000361396,214.0,0.00758486291852023,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.006741989871009446,-0.013959330967760156,-0.4246172452795077,96.0,0.004986953184408567,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,HYPO,False,40,0.1394172935506663,0.1447716213154112,0.005354327764744949,0.08118887335132789,391.0,0.8057269839482615,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,TEST,False,40,0.5393414186480165,0.5414816067334682,0.0021401880854516955,0.013271248681089382,402.0,0.9205922683031531,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,JUDGE,True,40,0.09112046046668851,0.11229544513519296,0.021174984668504433,0.34877569128918445,267.0,0.05481029127986403,1.0,False
JUDGE_pos_1.0,JUDGE,pos,1.0,PLAN,False,40,0.04151262582401535,0.0631249480900381,0.021612322266022742,0.5068402983668454,192.0,0.002770629538645153,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,MONITOR,False,40,0.02194271932550454,0.04529787174620815,0.023355152420703608,0.348440513323131,203.0,0.004653470972698415,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,RULE,False,40,0.007240970001723958,0.012693517735835705,0.005452547734111748,0.25991109108586213,158.0,0.1982405546429553,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,ORIENT,False,40,0.01855043425641561,0.017100504593179154,-0.001449929663236452,-0.0656633507337473,357.0,0.48452077669571736,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,DESCRIBE,False,40,0.12017275708819927,0.09406629693118873,-0.02610646015701056,-0.14429660691099314,365.0,0.5536995567435952,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.018380540685424225,-0.0023207801533453773,-0.06147938746799229,327.0,0.9248998836043245,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,HYPO,False,40,0.1394172935506663,0.13926042815029188,-0.00015686540037438134,-0.0020461763580843606,338.0,0.34032321635640983,,False
