category,condition,signed_alpha,target_prop,seed
TEST,TEST_pos_0.5,0.5,0.5223880597014925,2810
TEST,TEST_pos_0.5,0.5,0.5094339622641509,3801
TEST,TEST_pos_0.5,0.5,0.5742971887550201,3802
TEST,TEST_pos_0.5,0.5,0.4757281553398058,3803
TEST,TEST_pos_0.5,0.5,0.5339233038348082,3804
TEST,TEST_pos_0.5,0.5,0.5346534653465347,3805
TEST,TEST_pos_0.5,0.5,0.5257352941176471,3806
TEST,TEST_pos_0.5,0.5,0.5097276264591439,3807
TEST,TEST_pos_0.5,0.5,0.3974895397489539,3808
TEST,TEST_pos_0.5,0.5,0.597444089456869,3809
TEST,TEST_pos_0.5,0.5,0.4222222222222222,3810
TEST,TEST_pos_0.5,0.5,0.5135135135135135,4801
TEST,TEST_pos_0.5,0.5,0.6679841897233202,4802
TEST,TEST_pos_0.5,0.5,0.6219512195121951,4803
TEST,TEST_pos_0.5,0.5,0.6703703703703704,4804
TEST,TEST_pos_0.5,0.5,0.3711340206185567,4805
TEST,TEST_pos_0.5,0.5,0.3793103448275862,4806
TEST,TEST_pos_0.5,0.5,0.1348314606741573,4807
TEST,TEST_pos_0.5,0.5,0.6405693950177936,4808
TEST,TEST_pos_0.5,0.5,0.2777777777777778,4809
TEST,TEST_pos_0.5,0.5,0.5586592178770949,4810
TEST,TEST_pos_1.0,1.0,0.3035714285714285,1801
TEST,TEST_pos_1.0,1.0,0.5797101449275363,1802
TEST,TEST_pos_1.0,1.0,0.6214689265536724,1803
TEST,TEST_pos_1.0,1.0,0.7056962025316456,1804
TEST,TEST_pos_1.0,1.0,0.6254071661237784,1805
TEST,TEST_pos_1.0,1.0,0.6112852664576802,1806
TEST,TEST_pos_1.0,1.0,0.4491525423728814,1807
TEST,TEST_pos_1.0,1.0,0.6676737160120846,1808
TEST,TEST_pos_1.0,1.0,0.6015037593984962,1809
TEST,TEST_pos_1.0,1.0,0.5225563909774437,1810
TEST,TEST_pos_1.0,1.0,0.7138047138047138,2801
TEST,TEST_pos_1.0,1.0,0.6832298136645962,2802
TEST,TEST_pos_1.0,1.0,0.2988505747126437,2803
TEST,TEST_pos_1.0,1.0,0.6790123456790124,2804
TEST,TEST_pos_1.0,1.0,0.6337209302325582,2805
TEST,TEST_pos_1.0,1.0,0.5311475409836065,2806
TEST,TEST_pos_1.0,1.0,0.6827794561933535,2807
TEST,TEST_pos_1.0,1.0,0.6329588014981273,2808
TEST,TEST_pos_1.0,1.0,0.6026490066225165,2809
TEST,TEST_pos_1.0,1.0,0.5377358490566038,2810
TEST,TEST_pos_1.0,1.0,0.7016129032258065,3801
TEST,TEST_pos_1.0,1.0,0.5888888888888889,3802
TEST,TEST_pos_1.0,1.0,0.6171428571428571,3803
TEST,TEST_pos_1.0,1.0,0.6512968299711815,3804
TEST,TEST_pos_1.0,1.0,0.7030075187969925,3805
TEST,TEST_pos_1.0,1.0,0.6746268656716418,3806
TEST,TEST_pos_1.0,1.0,0.4296028880866426,3807
TEST,TEST_pos_1.0,1.0,0.6761133603238867,3808
TEST,TEST_pos_1.0,1.0,0.6585365853658537,3809
TEST,TEST_pos_1.0,1.0,0.653968253968254,3810
TEST,TEST_pos_1.0,1.0,0.6626865671641791,4801
TEST,TEST_pos_1.0,1.0,0.6481481481481481,4802
TEST,TEST_pos_1.0,1.0,0.6717325227963525,4803
TEST,TEST_pos_1.0,1.0,0.296,4804
TEST,TEST_pos_1.0,1.0,0.5247148288973384,4805
TEST,TEST_pos_1.0,1.0,0.5718954248366013,4806
TEST,TEST_pos_1.0,1.0,0.5763888888888888,4807
TEST,TEST_pos_1.0,1.0,0.6216216216216216,4808
TEST,TEST_pos_1.0,1.0,0.4646840148698885,4809
TEST,TEST_pos_1.0,1.0,0.5795795795795796,4810
TEST,TEST_neg_0.5,-0.5,0.5454545454545454,1801
TEST,TEST_neg_0.5,-0.5,0.4686192468619247,1802
TEST,TEST_neg_0.5,-0.5,0.6599326599326599,1803
TEST,TEST_neg_0.5,-0.5,0.448051948051948,1804
TEST,TEST_neg_0.5,-0.5,0.6,1805
TEST,TEST_neg_0.5,-0.5,0.3908045977011494,1806
TEST,TEST_neg_0.5,-0.5,0.5252525252525253,1807
TEST,TEST_neg_0.5,-0.5,0.596958174904943,1808
TEST,TEST_neg_0.5,-0.5,0.4831460674157303,1809
TEST,TEST_neg_0.5,-0.5,0.6122994652406417,1810
TEST,TEST_neg_0.5,-0.5,0.532051282051282,2801
TEST,TEST_neg_0.5,-0.5,0.5432692307692307,2802
TEST,TEST_neg_0.5,-0.5,0.448087431693989,2803
TEST,TEST_neg_0.5,-0.5,0.5688622754491018,2804
TEST,TEST_neg_0.5,-0.5,0.5,2805
TEST,TEST_neg_0.5,-0.5,0.6521739130434783,2806
TEST,TEST_neg_0.5,-0.5,0.5286343612334802,2807
TEST,TEST_neg_0.5,-0.5,0.4047619047619047,2808
TEST,TEST_neg_0.5,-0.5,0.4696356275303643,2809
TEST,TEST_neg_0.5,-0.5,0.564,2810
TEST,TEST_neg_0.5,-0.5,0.3594470046082949,3801
TEST,TEST_neg_0.5,-0.5,0.4471153846153846,3802
TEST,TEST_neg_0.5,-0.5,0.23,3803
TEST,TEST_neg_0.5,-0.5,0.6666666666666666,3804
TEST,TEST_neg_0.5,-0.5,0.7514619883040936,3805
TEST,TEST_neg_0.5,-0.5,0.6111111111111112,3806
