,trace_key,task_id,set,completed,n_nodes,n_edges,density,n_weakly_connected,longest_path,mean_in_degree,max_in_degree,max_out_degree
221,set_b/task2/trace_022,2,B,True,92,163,0.01947,4,51,1.772,5,13
222,set_b/task2/trace_023,2,B,False,485,1213,0.005167,2,321,2.501,5,19
223,set_b/task2/trace_024,2,B,False,472,1105,0.00497,12,189,2.341,5,20
224,set_b/task2/trace_025,2,B,True,86,160,0.021888,2,32,1.86,5,7
225,set_b/task2/trace_026,2,B,False,370,714,0.00523,2,252,1.93,5,15
226,set_b/task2/trace_027,2,B,True,240,485,0.008455,3,122,2.021,5,14
227,set_b/task2/trace_028,2,B,True,230,441,0.008373,3,102,1.917,5,9
228,set_b/task2/trace_029,2,B,True,68,109,0.023924,1,23,1.603,4,18
229,set_b/task2/trace_030,2,B,False,435,1058,0.005604,4,298,2.432,5,21
230,set_b/task2/trace_031,2,B,False,367,870,0.006477,8,203,2.371,5,14
231,set_b/task2/trace_032,2,B,True,419,1110,0.006338,3,247,2.649,5,20
232,set_b/task2/trace_033,2,B,False,296,534,0.006115,5,74,1.804,5,19
233,set_b/task2/trace_034,2,B,True,152,383,0.016687,2,92,2.52,5,14
234,set_b/task2/trace_035,2,B,True,331,642,0.005878,5,157,1.94,5,10
235,set_b/task2/trace_036,2,B,True,88,145,0.018939,1,52,1.648,4,7
236,set_b/task2/trace_037,2,B,False,377,707,0.004988,1,98,1.875,5,13
237,set_b/task2/trace_038,2,B,False,370,937,0.006863,2,261,2.532,5,16
238,set_b/task2/trace_039,2,B,False,448,1030,0.005143,2,286,2.299,5,19
239,set_b/task2/trace_040,2,B,False,409,962,0.005765,1,196,2.352,5,13
240,set_b/task3/trace_001,3,B,False,266,666,0.009448,4,185,2.504,5,20
241,set_b/task3/trace_002,3,B,False,279,620,0.007994,2,164,2.222,5,22
242,set_b/task3/trace_003,3,B,False,248,517,0.00844,3,91,2.085,5,17
243,set_b/task3/trace_004,3,B,False,258,505,0.007616,4,173,1.957,5,14
244,set_b/task3/trace_005,3,B,False,215,376,0.008172,1,89,1.749,5,17
245,set_b/task3/trace_006,3,B,False,270,537,0.007394,2,189,1.989,5,13
246,set_b/task3/trace_007,3,B,False,271,629,0.008596,2,85,2.321,5,19
247,set_b/task3/trace_008,3,B,False,209,479,0.011019,2,107,2.292,5,19
248,set_b/task3/trace_009,3,B,False,241,491,0.008489,2,120,2.037,5,15
249,set_b/task3/trace_010,3,B,False,208,442,0.010266,1,116,2.125,5,19
250,set_b/task3/trace_011,3,B,False,398,1013,0.006411,4,261,2.545,5,24
251,set_b/task3/trace_012,3,B,False,304,633,0.006872,1,184,2.082,5,19
252,set_b/task3/trace_013,3,B,False,486,969,0.004111,4,273,1.994,5,15
253,set_b/task3/trace_014,3,B,True,368,853,0.006316,10,120,2.318,5,18
254,set_b/task3/trace_015,3,B,False,459,943,0.004486,5,287,2.054,5,13
255,set_b/task3/trace_016,3,B,True,490,1121,0.004678,1,407,2.288,5,16
256,set_b/task3/trace_017,3,B,False,494,1129,0.004636,3,324,2.285,5,18
257,set_b/task3/trace_018,3,B,True,103,166,0.0158,4,25,1.612,4,10
258,set_b/task3/trace_019,3,B,True,405,1022,0.006246,2,205,2.523,5,33
259,set_b/task3/trace_020,3,B,True,311,754,0.007821,2,167,2.424,5,30
260,set_b/task3/trace_021,3,B,False,518,1303,0.004865,2,301,2.515,6,18
261,set_b/task3/trace_022,3,B,False,466,928,0.004283,1,284,1.991,5,18
262,set_b/task3/trace_023,3,B,True,45,66,0.033333,1,24,1.467,5,5
263,set_b/task3/trace_024,3,B,True,204,360,0.008693,2,85,1.765,5,10
264,set_b/task3/trace_025,3,B,False,398,914,0.005785,4,242,2.296,5,13
265,set_b/task3/trace_026,3,B,False,460,1024,0.00485,5,255,2.226,5,17
266,set_b/task3/trace_027,3,B,True,187,419,0.012046,1,114,2.241,4,17
267,set_b/task3/trace_028,3,B,True,321,800,0.007788,1,137,2.492,5,21
268,set_b/task3/trace_029,3,B,False,450,772,0.003821,1,184,1.716,5,14
